magJ,name,radius,spectraltype,magB,magV,temperature,magK,mass,metallicity,magH,planets
,Kepler-1295,0.89,,,,5486.0,,0.92,0.04,,1.0
,Kepler-1296,0.83,,,,5359.0,,0.87,-0.04,,1.0
,Kepler-1297,0.99,,,,5818.0,,0.99,-0.04,,1.0
,Kepler-1298,2.00,,,,6339.0,,1.45,0.13,,1.0
,Kepler-1299,0.91,,,,5609.0,,0.94,-0.01,,1.0
10.600,Kepler-129,1.641,,12.67,11.81,5770,10.252,1.1850,,10.325,2.0
12.406,Kepler-12,1.42,G0,13.96,13.4,5953,12.066,1.09,0.08,12.11,1.0
,Kepler-1300,1.79,,,,6130.0,,1.29,0.05,,1.0
,Kepler-1301,0.81,,,,5188.0,,0.85,0.01,,1.0
,Kepler-1302,0.82,,,,5236.0,,0.86,0.04,,1.0
,Kepler-1303,1.00,,,,5771.0,,1.01,0.04,,1.0
,Kepler-1304,0.81,,,,5259.0,,0.85,-0.05,,1.0
,Kepler-1305,0.96,,,,5701.0,,0.97,0.01,,1.0
,Kepler-1306,0.97,,,,5727.0,,0.98,0.00,,1.0
,Kepler-1307,1.08,,,,5884.0,,1.06,0.06,,1.0
,Kepler-1308,0.34,,,,3468.0,,0.35,-0.13,,1.0
,Kepler-1309,0.80,,,,5235.0,,0.85,-0.03,,1.0
10.810,Kepler-130,1.127,,12.16,11.57,5884,10.490,0.9650,,10.529,3.0
,Kepler-1310,0.88,,,,5549.0,,0.91,-0.07,,1.0
,Kepler-1311,1.40,,,,5748.0,,1.05,0.09,,2.0
,Kepler-1312,0.92,,,,5719.0,,0.99,-0.02,,1.0
,Kepler-1313,0.85,,,,5453.0,,0.92,0.00,,1.0
,Kepler-1314,0.59,,,,4188.0,,0.60,-0.22,,1.0
,Kepler-1315,0.75,,,,4861.0,,0.80,0.07,,1.0
,Kepler-1316,1.12,,,,5884.0,,1.04,0.03,,1.0
,Kepler-1317,0.79,,,,5144.0,,0.83,-0.01,,1.0
,Kepler-1318,0.70,,,,4598.0,,0.73,-0.01,,1.0
,Kepler-1319,0.54,,,,3655.0,,0.56,0.44,,1.0
10.418,Kepler-131,1.03,,12.22,11.49,5685,10.079,1.02,0.12,10.127,2.0
,Kepler-1320,0.74,,,,4817.0,,0.80,0.10,,1.0
,Kepler-1321,0.53,,,,4094.0,,0.54,-0.45,,2.0
,Kepler-1322,0.87,,,,5488.0,,0.90,-0.07,,1.0
,Kepler-1323,1.40,,,,6169.0,,1.18,0.02,,1.0
,Kepler-1324,0.73,,,,4776.0,,0.78,0.05,,1.0
,Kepler-1325,0.91,,,,5550.0,,0.93,0.01,,1.0
,Kepler-1326,1.74,,,,6725.0,,1.45,0.02,,1.0
,Kepler-1327,1.03,,,,5885.0,,1.02,-0.03,,1.0
,Kepler-1328,0.99,,,,5780.0,,1.00,0.00,,1.0
,Kepler-1329,0.69,,,,4500.0,,0.72,0.02,,1.0
10.797,Kepler-132,1.178,,12.49,11.92,6003,10.424,,,10.516,4.0
,Kepler-1330,0.94,,,,5608.0,,0.97,0.08,,1.0
,Kepler-1331,0.69,,,,4508.0,,0.72,0.05,,1.0
,Kepler-1332,0.90,,,,5581.0,,0.95,0.00,,1.0
,Kepler-1333,0.92,,,,5628.0,,0.94,-0.04,,1.0
,Kepler-1334,0.91,,,,5614.0,,0.94,-0.03,,1.0
,Kepler-1335,0.74,,,,4903.0,,0.77,-0.07,,1.0
,Kepler-1336,1.30,,,,5512.0,,0.94,0.05,,2.0
,Kepler-1337,0.67,,,,4523.0,,0.70,-0.09,,1.0
,Kepler-1338,1.05,,,,5909.0,,1.04,0.00,,1.0
,Kepler-1339,0.93,,,,5586.0,,0.94,0.01,,1.0
11.680,Kepler-133,1.425,,,,5736,11.320,1.0200,,11.399,2.0
,Kepler-1340,1.42,,,,6331.0,,1.27,0.07,,1.0
,Kepler-1341,0.72,,,,4662.0,,0.79,0.19,,1.0
,Kepler-1342,0.90,,,,5527.0,,0.93,0.03,,1.0
,Kepler-1343,0.93,,,,5759.0,,0.95,-0.16,,1.0
,Kepler-1344,1.13,,,,5981.0,,1.09,0.06,,1.0
,Kepler-1345,1.55,,,,6449.0,,1.32,0.04,,1.0
,Kepler-1346,1.21,,,,6133.0,,1.14,0.04,,1.0
,Kepler-1347,0.79,,,,5193.0,,0.82,-0.11,,1.0
,Kepler-1348,1.04,,,,5911.0,,1.04,-0.01,,1.0
,Kepler-1349,1.28,,,,6086.0,,1.16,0.03,,1.0
11.260,Kepler-134,1.176,,,,5983,10.951,1.0100,,10.984,2.0
,Kepler-1350,0.53,,,,3827.0,,0.55,-0.06,,2.0
,Kepler-1351,0.67,,,,4439.0,,0.70,-0.03,,1.0
,Kepler-1352,1.16,,,,6118.0,,1.11,0.00,,1.0
,Kepler-1353,0.72,,,,4776.0,,0.76,-0.06,,1.0
,Kepler-1354,1.24,,,,6168.0,,1.16,0.03,,1.0
,Kepler-1355,0.83,,,,5352.0,,0.88,-0.04,,1.0
,Kepler-1356,0.78,,,,5106.0,,0.82,-0.02,,1.0
,Kepler-1357,0.90,,,,5597.0,,0.93,-0.06,,1.0
,Kepler-1358,0.79,,,,5181.0,,0.82,-0.08,,1.0
14.042,Kepler-1359,0.720,,,,4709.0,13.430,0.780,0.110,13.507,2.0
11.722,Kepler-135,1.275,,12.82,12.79,6090,11.456,1.1400,,11.508,2.0
,Kepler-1360,1.83,,,,6778.0,,1.51,0.06,,1.0
,Kepler-1361,0.79,,,,5131.0,,0.83,0.00,,1.0
,Kepler-1362,0.74,,,,4857.0,,0.80,0.06,,1.0
,Kepler-1363,0.72,,,,4839.0,,0.76,-0.09,,1.0
,Kepler-1364,1.79,,,,6805.0,,1.49,0.04,,1.0
,Kepler-1365,1.05,,,,5770.0,,1.00,0.03,,2.0
,Kepler-1366,0.60,,,,4070.0,,0.62,-0.02,,1.0
,Kepler-1367,0.60,,,,4106.0,,0.62,-0.06,,1.0
,Kepler-1368,1.08,,,,5906.0,,1.07,0.10,,1.0
,Kepler-1369,0.99,,,,5761.0,,0.99,0.00,,1.0
10.804,Kepler-136,1.355,,12.51,12.4,6165,10.519,1.2040,,10.573,2.0
,Kepler-1370,1.29,,,,6202.0,,1.19,0.05,,2.0
,Kepler-1371,0.83,,,,5361.0,,0.87,-0.07,,2.0
,Kepler-1372,0.97,,,,5677.0,,0.98,0.05,,1.0
,Kepler-1373,1.33,,,,6299.0,,1.22,0.03,,1.0
,Kepler-1374,0.81,,,,5323.0,,0.85,-0.13,,1.0
,Kepler-1375,1.78,,,,6704.0,,1.47,0.09,,1.0
,Kepler-1376,0.97,,,,5659.0,,0.98,0.07,,1.0
,Kepler-1377,0.82,,,,5218.0,,0.86,0.05,,1.0
,Kepler-1378,0.67,,,,4407.0,,0.70,0.03,,1.0
,Kepler-1379,0.79,,,,5188.0,,0.83,-0.04,,1.0
11.650,Kepler-137,0.802,,,,5187,11.165,0.9080,,11.229,2.0
,Kepler-1380,0.94,,,,5570.0,,0.96,0.10,,1.0
,Kepler-1381,0.94,,,,5747.0,,0.96,-0.10,,1.0
,Kepler-1382,1.72,,,,6161.0,,1.36,0.30,,1.0
,Kepler-1383,1.44,,,,6370.0,,1.26,0.03,,1.0
,Kepler-1384,0.74,,,,4919.0,,0.78,-0.06,,1.0
,Kepler-1385,1.29,,,,5732.0,,1.15,0.41,,1.0
,Kepler-1386,1.03,,,,5733.0,,1.02,0.11,,1.0
,Kepler-1387,0.77,,,,5046.0,,0.82,0.02,,1.0
,Kepler-1388,0.61,,,,4098.0,,0.63,0.02,,4.0
,Kepler-1389,0.74,,,,5078.0,,0.81,-0.14,,1.0
,Kepler-1390,0.98,,,,5753.0,,0.98,-0.01,,1.0
,Kepler-1391,1.10,,,,5840.0,,1.03,0.04,,1.0
,Kepler-1392,0.85,,,,5479.0,,0.88,-0.11,,1.0
,Kepler-1393,0.92,,,,5697.0,,0.95,-0.09,,1.0
,Kepler-1394,2.55,,,,6481.0,,1.64,0.06,,1.0
,Kepler-1395,1.23,,,,6138.0,,1.17,0.12,,1.0
,Kepler-1396,1.27,,,,6195.0,,1.18,0.04,,1.0
,Kepler-1397,1.12,,,,6026.0,,1.09,0.00,,1.0
,Kepler-1398,1.18,,,,6126.0,,1.13,0.01,,2.0
,Kepler-1399,0.96,,,,5735.0,,0.97,-0.03,,1.0
11.530,Kepler-139,1.300,,,,5594,11.167,1.0840,,11.222,2.0
9.466,Kepler-13 A,1.74,A,10.16,9.95,7650,9.425,1.72,0.20,9.455,1.0
,Kepler-13 B,1.68,A,,10.2,7530,,1.68,0.2,,0.0
,Kepler-13 C,,,,,,,0.575,,,0.0
,Kepler-1400,0.78,,,,5044.0,,0.83,0.04,,1.0
,Kepler-1401,1.10,,,,5964.0,,1.07,0.04,,1.0
,Kepler-1402,0.87,,,,5416.0,,0.90,0.03,,1.0
,Kepler-1403,1.15,,,,6060.0,,1.11,0.03,,1.0
,Kepler-1404,0.80,,,,5261.0,,0.84,-0.09,,1.0
,Kepler-1405,1.07,,,,5925.0,,1.05,0.03,,1.0
,Kepler-1406,1.12,,,,5892.0,,1.05,0.04,,1.0
,Kepler-1407,1.15,,,,6010.0,,1.10,0.05,,1.0
,Kepler-1408,1.35,,,,6170.0,,1.21,0.00,,1.0
,Kepler-1409,0.79,,,,5160.0,,0.83,-0.03,,1.0
11.989,Kepler-140,1.288,,,,6077,11.709,1.2070,,11.759,2.0
,Kepler-1410,0.60,,,,4092.0,,0.63,0.01,,1.0
,Kepler-1411,0.92,,,,5664.0,,0.95,-0.04,,1.0
,Kepler-1412,1.27,,,,5880.0,,1.06,0.04,,1.0
,Kepler-1413,0.80,,,,5196.0,,0.84,-0.05,,1.0
,Kepler-1414,0.75,,,,4951.0,,0.80,-0.02,,1.0
,Kepler-1415,0.84,,,,5267.0,,0.89,0.12,,1.0
,Kepler-1416,1.15,,,,6019.0,,1.09,0.03,,1.0
,Kepler-1417,1.02,,,,5839.0,,1.02,0.02,,1.0
,Kepler-1418,0.72,,,,4770.0,,0.77,0.00,,1.0
,Kepler-1419,1.01,,,,5796.0,,1.01,0.04,,1.0
11.955,Kepler-141,0.787,,,,4910,11.393,1.0010,,11.485,2.0
,Kepler-1420,0.79,,,,5187.0,,0.82,-0.10,,1.0
,Kepler-1421,1.42,,,,6335.0,,1.25,0.05,,1.0
,Kepler-1422,1.23,,,,6194.0,,1.15,0.00,,1.0
,Kepler-1423,0.75,,,,4939.0,,0.79,-0.02,,1.0
,Kepler-1424,1.07,,,,5838.0,,1.02,0.01,,1.0
,Kepler-1425,0.95,,,,5718.0,,0.97,-0.03,,1.0
,Kepler-1426,1.02,,,,5831.0,,1.02,0.03,,1.0
,Kepler-1427,1.01,,,,5793.0,,1.01,0.06,,1.0
,Kepler-1428,1.36,,,,6184.0,,1.28,0.35,,1.0
,Kepler-1429,1.07,,,,5902.0,,1.05,0.04,,1.0
12.092,Kepler-142,1.269,,,,5790,11.762,0.9880,,11.801,3.0
,Kepler-1430,0.72,,,,4796.0,,0.77,-0.03,,1.0
,Kepler-1431,1.03,,,,5806.0,,1.03,0.07,,1.0
,Kepler-1432,1.13,,,,6031.0,,1.09,0.02,,1.0
,Kepler-1433,1.19,,,,6097.0,,1.14,0.07,,1.0
,Kepler-1434,2.04,,,,6291.0,,1.47,0.19,,1.0
,Kepler-1435,1.32,,,,6356.0,,1.21,-0.03,,1.0
,Kepler-1436,1.09,,,,5972.0,,1.06,-0.01,,1.0
,Kepler-1437,0.90,,,,5557.0,,0.93,-0.02,,1.0
,Kepler-1438,0.96,,,,5530.0,,0.97,0.20,,1.0
,Kepler-1439,0.43,,,,3578.0,,0.46,-0.03,,1.0
12.590,Kepler-143,1.359,,,,5848,12.223,1.0080,,12.292,2.0
,Kepler-1440,0.96,,,,5698.0,,0.98,0.04,,1.0
,Kepler-1441,1.00,,,,5802.0,,1.00,0.01,,1.0
,Kepler-1442,1.44,,,,6394.0,,1.34,0.26,,1.0
,Kepler-1443,1.27,,,,6289.0,,1.19,0.00,,1.0
,Kepler-1444,1.05,,,,5810.0,,1.03,0.06,,1.0
,Kepler-1445,1.26,,,,6150.0,,1.13,-0.03,,1.0
,Kepler-1446,0.75,,,,4865.0,,0.81,0.11,,1.0
,Kepler-1447,0.95,,,,5722.0,,0.97,-0.03,,1.0
,Kepler-1448,0.93,,,,5774.0,,0.95,-0.16,,1.0
,Kepler-1449,1.10,,,,5979.0,,1.08,0.04,,1.0
11.050,Kepler-144,1.235,,12.69,12.20,6075,10.792,1.1540,,10.830,2.0
,Kepler-1450,0.68,,,,4524.0,,0.71,-0.02,,1.0
,Kepler-1451,0.99,,,,5782.0,,1.00,0.01,,1.0
,Kepler-1452,2.06,,,,6101.0,,1.41,0.14,,1.0
,Kepler-1453,0.94,,,,5665.0,,0.97,0.01,,1.0
,Kepler-1454,0.86,,,,5448.0,,0.90,-0.02,,1.0
,Kepler-1455,0.60,,,,4075.0,,0.62,-0.02,,1.0
,Kepler-1456,0.62,,,,4231.0,,0.64,-0.09,,1.0
,Kepler-1457,1.01,,,,5866.0,,1.01,-0.05,,1.0
,Kepler-1458,0.94,,,,5653.0,,0.96,0.02,,1.0
,Kepler-1459,0.74,,,,4828.0,,0.78,0.01,,1.0
,Kepler-1460,0.67,,,,4422.0,,0.70,-0.02,,1.0
,Kepler-1461,0.74,,,,4919.0,,0.79,-0.04,,1.0
,Kepler-1462,1.00,,,,5756.0,,1.00,0.06,,1.0
,Kepler-1463,0.95,,,,5679.0,,0.96,0.00,,1.0
,Kepler-1464,1.01,,,,5828.0,,1.02,0.03,,2.0
,Kepler-1465,0.71,,,,4726.0,,0.75,-0.06,,1.0
,Kepler-1466,1.02,,,,5884.0,,1.01,-0.07,,1.0
,Kepler-1467,0.82,,,,5332.0,,0.86,-0.07,,1.0
,Kepler-1468,1.05,,,,5893.0,,1.04,0.03,,2.0
,Kepler-1469,0.89,,,,5507.0,,0.92,0.02,,1.0
12.739,Kepler-146,1.208,,,,5948,12.475,1.0900,,12.472,2.0
,Kepler-1470,0.76,,,,4961.0,,0.80,-0.01,,1.0
,Kepler-1471,0.93,,,,5660.0,,0.95,-0.03,,1.0
,Kepler-1472,1.25,,,,6159.0,,1.16,0.03,,1.0
,Kepler-1473,1.09,,,,6046.0,,1.09,-0.01,,1.0
,Kepler-1474,1.04,,,,5870.0,,1.04,0.04,,1.0
,Kepler-1475,1.28,,,,6214.0,,1.18,0.03,,1.0
,Kepler-1476,0.96,,,,5663.0,,0.98,0.06,,1.0
,Kepler-1477,0.78,,,,5100.0,,0.81,-0.06,,1.0
,Kepler-1478,1.06,,,,5904.0,,1.04,0.03,,1.0
,Kepler-1479,0.98,,,,5796.0,,0.99,-0.02,,1.0
12.786,Kepler-147,1.468,,,,6012,12.416,0.9800,,12.475,2.0
,Kepler-1480,0.81,,,,5156.0,,0.85,0.07,,1.0
,Kepler-1481,0.75,,,,4908.0,,0.80,0.04,,1.0
,Kepler-1482,0.84,,,,5381.0,,0.88,-0.04,,1.0
,Kepler-1483,1.40,,,,6337.0,,1.25,0.04,,1.0
,Kepler-1484,0.92,,,,5730.0,,0.94,-0.17,,1.0
,Kepler-1485,1.12,,,,6087.0,,1.11,0.02,,1.0
,Kepler-1486,1.12,,,,5965.0,,1.08,0.06,,1.0
,Kepler-1487,1.63,,,,6541.0,,1.38,0.04,,1.0
,Kepler-1488,1.31,,,,5820.0,,1.05,0.06,,1.0
,Kepler-1489,0.90,,,,5655.0,,0.93,-0.13,,1.0
13.903,Kepler-148,0.851,,,,5272,13.36,0.7770,,13.527,3.0
,Kepler-1490,0.87,,,,5515.0,,0.90,-0.08,,1.0
,Kepler-1491,0.99,,,,5728.0,,1.00,0.06,,1.0
,Kepler-1492,0.72,,,,4712.0,,0.77,0.06,,1.0
,Kepler-1493,1.29,,,,5863.0,,1.06,0.06,,1.0
,Kepler-1494,0.94,,,,5659.0,,0.96,0.01,,1.0
,Kepler-1495,1.04,,,,5831.0,,1.03,0.06,,1.0
,Kepler-1496,1.27,,,,6182.0,,1.18,0.05,,1.0
,Kepler-1497,0.95,,,,5675.0,,0.96,0.01,,1.0
,Kepler-1498,0.81,,,,5256.0,,0.86,-0.01,,1.0
,Kepler-1499,0.78,,,,5097.0,,0.82,-0.01,,1.0
12.694,Kepler-149,0.953,,,,5381,12.184,0.9090,,12.274,3.0
11.202,Kepler-14,2.048,F,12.24,12.12,6395.0,10.988,1.512,0.12,11.068,1.0
,Kepler-1500,1.00,,,,5845.0,,1.00,-0.05,,1.0
,Kepler-1501,1.30,,,,6229.0,,1.20,0.04,,1.0
,Kepler-1502,1.72,,,,6666.0,,1.44,0.05,,1.0
,Kepler-1503,0.74,,,,5069.0,,0.77,-0.19,,1.0
,Kepler-1504,0.81,,,,5393.0,,0.85,-0.17,,1.0
,Kepler-1505,0.86,,,,5686.0,,0.93,-0.18,,1.0
,Kepler-1506,0.93,,,,5676.0,,0.95,-0.05,,1.0
,Kepler-1507,0.85,,,,5410.0,,0.89,-0.03,,1.0
,Kepler-1508,1.22,,,,6158.0,,1.14,0.01,,1.0
,Kepler-1509,0.99,,,,5780.0,,1.00,0.03,,1.0
13.817,Kepler-150,0.939,,,,5560,13.37,0.9700,,13.422,4.0
,Kepler-1510,1.28,,,,6200.0,,1.19,0.04,,1.0
,Kepler-1511,1.29,,,,6064.0,,1.17,0.14,,1.0
,Kepler-1512,0.67,,,,4372.0,,0.73,0.20,,1.0
,Kepler-1513,0.97,,,,5617.0,,0.99,0.14,,1.0
,Kepler-1515,1.41,,,,6511.0,,1.30,0.07,,1.0
,Kepler-1516,1.07,,,,5904.0,,1.04,0.03,,1.0
,Kepler-1517,1.95,,,,7010.0,,1.58,0.01,,1.0
,Kepler-1518,1.88,,,,6846.0,,1.54,0.06,,1.0
,Kepler-1519,0.91,,,,5644.0,,0.94,-0.07,,1.0
13.383,Kepler-151,0.830,,,,5460,12.86,0.8600,,12.998,2.0
,Kepler-1521,0.76,,,,5042.0,,0.81,-0.05,,1.0
,Kepler-1522,0.93,,,,5706.0,,0.96,-0.07,,1.0
,Kepler-1523,0.96,,,,5708.0,,0.97,0.00,,1.0
,Kepler-1524,1.25,,,,6179.0,,1.17,0.04,,1.0
,Kepler-1525,1.04,,,,5748.0,,1.07,0.27,,1.0
,Kepler-1526,0.69,,,,4601.0,,0.73,-0.01,,1.0
,Kepler-1527,1.32,,,,6224.0,,1.21,0.07,,1.0
,Kepler-1528,1.03,,,,5857.0,,1.03,0.03,,1.0
,Kepler-1529,0.77,,,,5048.0,,0.81,-0.03,,1.0
12.853,Kepler-152,0.724,,,,5088,12.301,,,12.488,2.0
,Kepler-1530,0.88,,,,5477.0,,0.92,0.03,,2.0
,Kepler-1531,1.27,,,,6260.0,,1.16,-0.03,,1.0
,Kepler-1532,0.88,,,,5559.0,,0.91,-0.10,,1.0
,Kepler-1533,1.51,,,,6431.0,,1.31,0.03,,1.0
,Kepler-1534,0.86,,,,5442.0,,0.90,-0.01,,1.0
,Kepler-1535,1.11,,,,6021.0,,1.08,0.00,,1.0
,Kepler-1536,0.67,,,,4434.0,,0.71,0.05,,1.0
,Kepler-1537,0.77,,,,5079.0,,0.81,-0.08,,1.0
,Kepler-1538,1.03,,,,5837.0,,1.03,0.02,,1.0
,Kepler-1539,0.80,,,,5176.0,,0.84,-0.01,,1.0
12.945,Kepler-153,0.892,,,,5404,12.418,0.8200,,12.483,2.0
,Kepler-1540,0.69,,,,4540.0,,0.74,0.10,,1.0
,Kepler-1541,0.81,,,,5282.0,,0.86,-0.04,,1.0
,Kepler-1542,0.99,,,,5564.0,,0.94,0.06,,4.0
,Kepler-1543,1.65,,,,6561.0,,1.39,0.07,,1.0
,Kepler-1544,0.74,,,,4886.0,,0.81,0.02,,1.0
,Kepler-1545,0.80,,,,5201.0,,0.84,-0.06,,1.0
,Kepler-1546,0.93,,,,5623.0,,0.95,0.01,,1.0
,Kepler-1547,1.18,,,,6078.0,,1.12,0.04,,1.0
,Kepler-1548,0.97,,,,5706.0,,0.99,0.05,,1.0
,Kepler-1549,0.84,,,,5324.0,,0.88,0.02,,1.0
13.389,Kepler-154,1.001,,,,5690,12.986,,,13.09,5.0
,Kepler-1550,1.11,,,,5991.0,,1.07,0.01,,1.0
,Kepler-1551,1.22,,,,6136.0,,1.14,0.01,,1.0
,Kepler-1552,0.78,,,,5202.0,,0.85,-0.07,,1.0
,Kepler-1553,0.81,,,,5288.0,,0.85,-0.09,,1.0
,Kepler-1554,0.81,,,,5297.0,,0.84,-0.10,,1.0
,Kepler-1555,1.06,,,,5866.0,,1.04,0.03,,1.0
,Kepler-1556,0.95,,,,5608.0,,0.97,0.08,,1.0
,Kepler-1557,1.17,,,,6099.0,,1.11,0.02,,1.0
,Kepler-1558,0.79,,,,5101.0,,0.83,0.00,,1.0
,Kepler-1559,0.82,,,,5316.0,,0.86,-0.04,,1.0
12.53,Kepler-155,0.620,,,,4508,11.80,0.6350,,11.89,2.0
,Kepler-1560,1.02,,,,5815.0,,1.02,0.04,,1.0
,Kepler-1561,1.11,,,,5957.0,,1.07,0.04,,1.0
,Kepler-1562,1.05,,,,5760.0,,1.02,0.11,,1.0
,Kepler-1563,0.99,,,,5765.0,,1.00,0.02,,1.0
,Kepler-1564,0.90,,,,5528.0,,0.93,0.03,,1.0
,Kepler-1565,0.73,,,,4940.0,,0.76,-0.16,,1.0
,Kepler-1566,0.81,,,,5254.0,,0.84,-0.07,,1.0
,Kepler-1567,0.93,,,,5655.0,,0.95,-0.03,,1.0
,Kepler-1568,1.19,,,,5956.0,,1.09,0.09,,1.0
,Kepler-1569,1.40,,,,6319.0,,1.25,0.06,,1.0
12.735,Kepler-156,0.807,,,,5094,12.155,0.7370,,12.255,2.0
,Kepler-1570,0.89,,,,5550.0,,0.92,-0.04,,1.0
,Kepler-1571,1.39,,,,6297.0,,1.23,0.04,,1.0
,Kepler-1572,0.95,,,,5618.0,,0.97,0.08,,1.0
,Kepler-1573,1.00,,,,5808.0,,1.01,0.02,,1.0
,Kepler-1574,1.08,,,,5892.0,,1.06,0.08,,1.0
,Kepler-1575,0.92,,,,5667.0,,0.95,-0.07,,1.0
,Kepler-1576,1.06,,,,5876.0,,1.05,0.05,,1.0
,Kepler-1577,0.74,,,,4862.0,,0.78,0.00,,1.0
,Kepler-1578,0.86,,,,5545.0,,0.90,-0.13,,1.0
,Kepler-1579,0.70,,,,4584.0,,0.75,0.11,,1.0
12.94,Kepler-157,1.044,,,,5774,12.57,1.0280,,12.627,3.0
,Kepler-1580,2.15,,,,6228.0,,1.47,0.12,,1.0
,Kepler-1581,1.23,,,,6022.0,,1.12,0.07,,1.0
,Kepler-1582,0.30,,,,3208.0,,0.28,0.48,,1.0
,Kepler-1583,0.91,,,,5645.0,,0.94,-0.07,,1.0
,Kepler-1584,1.13,,,,6069.0,,1.10,0.00,,1.0
,Kepler-1585,0.91,,,,5538.0,,0.94,0.08,,1.0
,Kepler-1586,1.75,,,,6681.0,,1.45,0.06,,1.0
,Kepler-1587,1.22,,,,5933.0,,1.08,0.07,,1.0
,Kepler-1588,0.99,,,,5817.0,,0.96,-0.14,,1.0
,Kepler-1589,1.25,,,,6166.0,,1.18,0.08,,1.0
12.722,Kepler-158,0.624,,,,4623,12.057,0.6550,,12.138,2.0
,Kepler-1590,1.16,,,,6053.0,,1.11,0.03,,1.0
,Kepler-1591,1.16,,,,6082.0,,1.10,0.01,,1.0
,Kepler-1592,1.28,,,,6213.0,,1.18,0.04,,1.0
,Kepler-1593,0.77,,,,4995.0,,0.81,0.02,,1.0
,Kepler-1594,1.08,,,,5946.0,,1.06,0.03,,1.0
,Kepler-1595,0.80,,,,5203.0,,0.84,-0.02,,1.0
,Kepler-1596,0.92,,,,5706.0,,0.95,-0.11,,1.0
,Kepler-1597,1.39,,,,6377.0,,1.25,0.02,,1.0
,Kepler-1598,1.09,,,,5940.0,,1.07,0.04,,1.0
,Kepler-1599,0.99,,,,5767.0,,0.99,0.02,,1.0
13.104,Kepler-159,0.663,,,,4625,12.357,0.6280,,12.530,2.0
12.578,Kepler-15,0.98,G,,13.8,5514,12.216,1.00,0.36,12.28,1.0
,Kepler-1600,0.82,,,,5214.0,,0.86,0.07,,1.0
,Kepler-1601,1.07,,,,5869.0,,1.04,0.05,,1.0
,Kepler-1602,1.36,,,,6296.0,,1.22,0.02,,1.0
,Kepler-1603,1.31,,,,6241.0,,1.21,0.07,,1.0
,Kepler-1604,0.76,,,,4976.0,,0.81,0.02,,1.0
,Kepler-1605,0.82,,,,5280.0,,0.86,-0.01,,1.0
,Kepler-1606,0.86,,,,5422.0,,0.90,0.01,,1.0
,Kepler-1607,1.21,,,,6116.0,,1.14,0.05,,1.0
,Kepler-1608,0.72,,,,4992.0,,0.75,-0.24,,1.0
,Kepler-1609,1.27,,,,6132.0,,1.18,0.10,,1.0
13.460,Kepler-160,0.884,,,,5857,13.052,0.9930,,13.101,2.0
,Kepler-1610,0.87,,,,5383.0,,0.91,0.10,,1.0
,Kepler-1611,0.93,,,,5605.0,,0.94,0.01,,1.0
,Kepler-1612,0.94,,,,5643.0,,0.96,0.03,,1.0
,Kepler-1613,1.12,,,,6005.0,,1.08,0.01,,1.0
,Kepler-1614,0.76,,,,5121.0,,0.79,-0.17,,1.0
,Kepler-1615,1.05,,,,5865.0,,1.04,0.06,,1.0
,Kepler-1616,1.34,,,,6266.0,,1.21,0.02,,1.0
,Kepler-1617,1.22,,,,6167.0,,1.15,0.01,,1.0
,Kepler-1618,1.65,,,,6620.0,,1.41,0.04,,1.0
,Kepler-1619,1.00,,,,5852.0,,1.00,-0.07,,1.0
12.767,Kepler-161,0.806,,,,5078,12.246,0.7830,,12.329,2.0
,Kepler-1620,1.23,,,,6157.0,,1.15,0.03,,1.0
,Kepler-1621,1.24,,,,6158.0,,1.15,0.03,,1.0
,Kepler-1622,1.50,,,,6436.0,,1.31,0.04,,1.0
,Kepler-1623,1.00,,,,5772.0,,1.00,0.04,,1.0
,Kepler-1624,0.47,,,,3636.0,,0.50,0.06,,1.0
,Kepler-1625,0.94,,,,5677.0,,0.96,0.01,,1.0
,Kepler-1626,1.85,,,,6826.0,,1.51,0.04,,1.0
,Kepler-1627,0.84,,,,5445.0,,0.87,-0.10,,1.0
,Kepler-1628,0.52,,,,3724.0,,0.55,0.17,,1.0
,Kepler-1629,1.01,,,,5776.0,,1.01,0.05,,1.0
13.041,Kepler-162,0.958,,,,5816,12.658,0.9530,,12.708,2.0
,Kepler-1630,0.63,,,,4736.0,,0.66,-0.46,,1.0
,Kepler-1631,0.95,,,,5679.0,,0.97,0.04,,1.0
,Kepler-1632,1.19,,,,6137.0,,1.12,0.00,,1.0
,Kepler-1633,1.32,,,,6256.0,,1.20,0.02,,1.0
,Kepler-1634,0.89,,,,5474.0,,0.92,0.02,,1.0
,Kepler-1635,0.85,,,,5347.0,,0.89,0.06,,1.0
,Kepler-1636,1.02,,,,5797.0,,1.01,0.03,,1.0
,Kepler-1637,1.02,,,,5789.0,,1.02,0.07,,1.0
,Kepler-1638,0.95,,,,5710.0,,0.97,-0.01,,1.0
,Kepler-1639,1.18,,,,6150.0,,1.12,-0.03,,1.0
13.194,Kepler-163,0.917,,,,5776,12.784,0.9600,,12.850,2.0
,Kepler-1640,1.43,,,,6324.0,,1.27,0.10,,1.0
,Kepler-1641,1.19,,,,6152.0,,1.12,-0.02,,2.0
,Kepler-1642,0.84,,,,5355.0,,0.88,-0.01,,2.0
,Kepler-1643,0.88,,,,5508.0,,0.92,-0.01,,1.0
,Kepler-1644,0.86,,,,5499.0,,0.89,-0.10,,1.0
,Kepler-1645,1.02,,,,5812.0,,1.02,0.04,,1.0
,Kepler-1646,0.26,,,,3299.0,,0.24,0.04,,1.0
