period,name,eccentricity,description,discoverymethod,periastrontime,lastupdate,semimajoraxis,mass,periastron,list,discoveryyear
1.42266,EPIC 201713348 b,,EPIC 201713348 is a multi-transiting system in the K2 mission campaign 1 field.,transit,,15/12/06,0.0230,,,Confirmed planets,2015
5.34059,EPIC 201713348 c,,EPIC 201713348 is a multi-transiting system in the K2 mission campaign 1 field.,transit,,15/12/06,0.0555,,,Confirmed planets,2015
11.8104,EPIC 201736247 b,,"This planet was discovered by the Kepler spacecraft during its extended K2 mission, Campaign 1.",transit,,15/07/07,0.091,,,Confirmed planets,2015
19.07863,EPIC 201754305 c,,"This planet was discovered by the Kepler spacecraft during its extended K2 mission, Campaign 1.",transit,,15/12/06,0.1229,,,Confirmed planets,2015
7.61880,EPIC 201754305 b,,"This planet was discovered by the Kepler spacecraft during its extended K2 mission, Campaign 1.",transit,,15/12/06,0.0667,,,Confirmed planets,2015
33.51569,EPIC 201828749 b,,"This planet was discovered by the Kepler spacecraft during its extended K2 mission, Campaign 1.",transit,,15/07/07,0.1875,,,Controversial,2015
17.96753,EPIC 201855371 b,,"This planet was discovered by the Kepler spacecraft during its extended K2 mission, Campaign 1.",transit,,18/07/24,0.119,,,Confirmed planets,2015
32.93963,EPIC 201912552 b,,"This planet was discovered by the Kepler spacecraft during its extended K2 mission, Campaign 1. This planet may be an interesting target for atmospheric studies of transiting exoplanets. Its density lies between that of Earth-like and Neptune-like planets.",transit,,17/12/16,0.143,0.02504,,Confirmed planets,2015
8.962,K2-18 c,,K2-18 c is a non-transiting planet identified in radial velocity measurements of the K2-18 system.,RV,,17/12/16,0.060,0.02363,,Confirmed planets,2017
540,EPIC 203311200 b,,A possible planet has been identified orbiting EPIC 203311200 based on a single transit observed by the K2 mission. Confirmation of this planet will require additional observations.,transit,,17/12/09,1.25,,,Controversial,2015
20.88508,EPIC 203771098 b,,"EPIC 203771098 is a metal-rich G3 dwarf hosting two low-density, sub-Saturn planets in orbits close to the 2:1 mean-motion resonance. The system was discovered using K2 photometry and radial velocities were measured with Keck/HIRES, allowing determination of the planetary masses.",transit,,15/12/06,0.1542,0.066,,Confirmed planets,2015
42.36342,EPIC 203771098 c,,"EPIC 203771098 is a metal-rich G3 dwarf hosting two low-density, sub-Saturn planets in orbits close to the 2:1 mean-motion resonance. The system was discovered using K2 photometry and radial velocities were measured with Keck/HIRES, allowing determination of the planetary masses.",transit,,15/12/06,0.2471,0.0850,,Confirmed planets,2015
4.44117,EPIC 203826436 b,,EPIC 203826436 is a multi-transiting system in the K2 mission campaign 2 field.,transit,,15/12/06,0.0511,,,Confirmed planets,2015
6.42904,EPIC 203826436 c,,EPIC 203826436 is a multi-transiting system in the K2 mission campaign 2 field.,transit,,15/12/06,0.0654,,,Confirmed planets,2015
14.09189,EPIC 203826436 d,,EPIC 203826436 is a multi-transiting system in the K2 mission campaign 2 field.,transit,,15/12/06,0.1103,,,Confirmed planets,2015
1.257850,EPIC 204129699 b,0,EPIC 204129699 b is the first confirmed transiting hot Jupiter discovered by the K2 mission. The transits are grazing which results in poor constraints on the planetary radius.,transit,,15/11/15,0.0220,1.774,,Confirmed planets,2015
4.01593,EPIC 204221263 b,,EPIC 204221263 is a multi-transiting system in the K2 mission campaign 2 field. Radial velocity measurements with Keck/HIRES have allowed the determination of the planetary masses. The radial velocities exhibit a linear trend indicating the presence of an additional non-transiting companion in the system.,transit,,15/12/06,0.0506,0.0378,,Confirmed planets,2015
10.56103,EPIC 204221263 c,,EPIC 204221263 is a multi-transiting system in the K2 mission campaign 2 field. Radial velocity measurements with Keck/HIRES have allowed the determination of the planetary masses. The radial velocities exhibit a linear trend indicating the presence of an additional non-transiting companion in the system.,transit,,15/12/06,0.0964,0.031,,Confirmed planets,2015
8.99218,EPIC 205071984 b,,EPIC 205071984 is a multi-transiting system in the K2 mission campaign 2 field.,transit,,17/12/04,0.0808,0.06639,,Confirmed planets,2015
20.65614,EPIC 205071984 c,,EPIC 205071984 is a multi-transiting system in the K2 mission campaign 2 field.,transit,,17/12/04,0.1873,,,Confirmed planets,2015
31.71922,EPIC 205071984 d,,EPIC 205071984 is a multi-transiting system in the K2 mission campaign 2 field.,transit,,17/12/04,0.1873,,,Confirmed planets,2015
5.42513,K2-33 b,0.0,Data for this planet was imported from the exoplanet.eu database.,transit,,16/06/27,0.0409,3.6,,Confirmed planets,2016
9.32414,EPIC 206011691 b,,The EPIC 206011691 system consists of a pair of small planets orbiting a nearby M0 dwarf close to the 5:3 resonance.,transit,,15/07/31,0.0731,,,Confirmed planets,2015
15.50120,EPIC 206011691 c,,The EPIC 206011691 system consists of a pair of small planets orbiting a nearby M0 dwarf close to the 5:3 resonance.,transit,,15/07/31,0.1026,,,Confirmed planets,2015
2.260410,EPIC 206318379 b,0,EPIC 206318379 b is a validated super-Earth candidate in the K2 Campaign 3 field. The planet has a similar radius and insolation to GJ 1214 b.,transit,,16/03/07,0.0216,,,Confirmed planets,2015
8.199796,EPIC 210363145 b,0.14,This planet is a Super-Earth with a radius roughly 2 times that of Earth. The host star EPIC 210363145 was identified as a member of the approximately 120-Myr-old Pleiades cluster based on its kinematics and photometric distance.,transit,,18/02/17,,,89,Confirmed planets,2016
3.484552,EPIC 210490365 b,0.27,EPIC 210490365 b is a Neptune-sized planet orbiting a red dwarf star in the Hyades cluster.,transit,,15/12/06,,,62.10,Confirmed planets,2015
5.35117,EPIC 210894022 b,,Data for this planet was imported from the exoplanet.eu database.,RV,,18/07/24,0.0621,0.027,,Confirmed planets,2017
3.2588321,K2-29 b,0.066,Data for this planet was imported from the exoplanet.eu database.,transit,,16/06/13,0.04217,0.73,132.0,Confirmed planets,2016
10.13675,EPIC 211391664 b,,Data for this planet was imported from the exoplanet.eu database.,transit,,18/07/24,0.0943,0.101,,Confirmed planets,2016
21.169619,EPIC 211822797 b,0.18,K2-103b is a sub-Neptune exoplanet in the Praesepe cluster.,,,18/03/23,,,0,Confirmed planets,2016
1.648932,EPIC 211901114 b,,"EPIC 211901114 b is a candidate exoplanet in the Praesepe cluster. If confirmed, it would be one of the few known examples of a hot Jupiter orbiting a red dwarf star.",transit,,18/03/23,,,,Controversial,2016
14.677286,EPIC 211913977 b,0.10,K2-101 b is a sub-Neptune exoplanet located in the Praesepe cluster.,,,18/03/23,,,0,Confirmed planets,2016
10.135091,EPIC 211916756 b,0.16,K2-95 b is a Neptune-sized exoplanet in the Praesepe cluster.,,,18/03/23,0.0653,,-2,Confirmed planets,2016
1.97419,EPIC 211969807 b,0.18,K2-104b is a sub-Neptune exoplanet in the Praesepe cluster.,,,18/03/23,,,0,Confirmed planets,2016
9.915615,EPIC 211970147 b,0.10,K2-102 b is a super-Earth located in the Praesepe cluster.,,,16/09/07,,,-1,Confirmed planets,2016
1.673916,EPIC 211990866 b,0.24,K2-100 b is a sub-Neptune exoplanet located in the Praesepe cluster.,,,18/03/23,,,29,Confirmed planets,2016
18.249,K2-99 b,0.19,Data for this planet was imported from the exoplanet.eu database.,,,16/11/09,0.159,0.97,,Confirmed planets,2016
3.31392,EPIC 216468514 b,,Data for this planet was imported from the exoplanet.eu database.,,,17/02/21,0.048,0.84,,Confirmed planets,2016
28.38229,EPIC 218916923 b,0.0,Data for this planet was imported from the exoplanet.eu database.,,,17/02/03,0.1811,0.381,,Confirmed planets,2017
5.817712,EPIC 220504338 b,0.0,Data for this planet was imported from the exoplanet.eu database.,,,16/11/24,0.0575,1.28,,Confirmed planets,2016
0.571308,EPIC 220674823 b,0.0,Data for this planet was imported from the exoplanet.eu database.,transit,,18/07/24,0.011,,,Confirmed planets,2016
13.341245,EPIC 220674823 c,0.0,Data for this planet was imported from the exoplanet.eu database.,transit,,18/07/24,0.064,,,Confirmed planets,2016
6.5693,EPIC 228735255 b,0.12,Data for this planet was imported from the exoplanet.eu database.,transit,,17/06/25,0.0591,1.019,98.88,Confirmed planets,2017
9.1708,EPIC 228754001 b,0.29,Data for this planet was imported from the exoplanet.eu database.,transit,,17/07/12,0.0916,0.495,82.6,Confirmed planets,2017
0.179715,EPIC 22881391 b,,Data for this planet was imported from the exoplanet.eu database.,transit,,17/07/17,0.0058,0.7,,Confirmed planets,2017
417.9,eps Coronae Borealis b,0.11,Radial velocity measurements for eps CrB exhibit periodic variation of 417 days with an amplitude of 129 meters per second. The minimum mass for the planetary companion is 6.7 Jupiter masses.,RV,2451235.3,15/09/22,1.3,6.7,133.1,Confirmed planets,2012
2651,eps Eridani b,0.40,The planet eps Eri b has been inferred from radial velocities. The host star is active and recent studies have resulted in either non-detection of the planet (Zechmeister et al. 2013) or orbital parameters incompatible with previous solutions (Anglada-Escudé & Butler 2012). The radial velocity variations may therefore be related to a stellar activity cycle rather than an orbiting planet.,RV,,15/11/12,3.51,0.645,141.4,Controversial,2000
19205.51,Epsilon Indi A b,0.01,Epsilon Indi Ab is a giant planet in a wide orbit around the nearby star Epsilon Indi A. The orbit has a low eccentricity.,RV,,18/03/24,12.82,2.71,88.56,Confirmed planets,2018
594.9,eps Tau b,0.151,Epsilon Tauri b orbits a giant star in the Hyades cluster.,RV,2452879,15/12/11,1.93,7.6,94.4,Confirmed planets,2007
407.3,eta Cet b,0.17,,RV,,15/12/11,1.27,2.46,247.2,Confirmed planets,2014
744.3,eta Cet c,0.02,"The planetary system eta Ceti contains at least two planets. The planets are in, or at least close, to a 2:1 mean motion resonance. Such resonances occur naturally as a consequence of convergent planetary migration.",RV,,15/12/11,1.93,3.16,36.67,Confirmed planets,2014
,FL Lyr b,,The presence of a substellar companion in orbit around the binary star FL Lyrae is inferred from eclipse timing variations detected by Kepler. Measurements over a longer term are required to confirm the existence of the planet.,timing,,15/11/16,,,,Controversial,2015
794.8,FN Lyr b,0.28,This planet was inferred from the timing of the pulsations of the RR Lyrae star FN Lyrae.,timing,2454437.2,11/06/30,0.50,13.9,351,Controversial,
320000,Fomalhaut b,0.8,"Formalhaut is one of the brightest stars in the night sky and located in the constellation Piscis Austrinus. It is a young star with a debris disk. In 2008 astronomers reported the discovery of a planet orbiting the star within the debris disk. Images from the Hubble space telescope show motion consistent with a Keplerian orbit that crossed the disk. However, there are still debates about where the observed emission is coming from. The object may be an isolated dust cloud or even a background neutron star.",imaging,,13/05/12,177,,26,Controversial,2008
,FU Tau B,,,imaging,,11/09/19,,15,,Confirmed planets,2009
,FW Tau b,,"FW Tau b is a wide separation planetary mass companion to the star FW Tau. The object was discovered over 10 years ago in a binary survey program, but follow-up observations only confirmed its planetary nature in 2013.",imaging,,13/12/02,,10,,Confirmed planets,2013
905.0,Gamma Cephei b,0.08,,RV,24532481,18/04/20,1.94,9.4,86,Confirmed planets,2003
428.5,Gamma Leonis b,0.144,,RV,2451236,15/09/22,1.19,8.78,206.7,Confirmed planets,2009
1.628930,GJ 1132 b,,"GJ 1132b is orbiting a red dwarf star. The planet is three times closer to Earth than any other rocky exoplanet. Although the planet is not habitable, it is expected to be cool enough to hold on to an atmosphere. Because of its proximity to Earth, it might be possible to determine the composition of the atmosphere in the future.",transit,,15/11/12,,0.005096,,Confirmed planets,2015
5.2354,GJ 160.2 b,0.06,The planet candidate orbiting GJ 160.2 was identified by Bayesian analysis of 100 UVES and 7 HARPS radial velocity measurements.,RV,,15/04/21,0.053,0.0321,350,Controversial,2014
17.380,GJ 180 b,0.11,The planet candidates orbiting GJ 180 were identified by Bayesian analysis of 56 UVES and 31 HARPS radial velocity measurements.,RV,,15/04/21,0.103,0.026,10,Controversial,2014
24.329,GJ 180 c,0.09,The planet candidates orbiting GJ 180 were identified by Bayesian analysis of 56 UVES and 31 HARPS radial velocity measurements.,RV,,15/04/21,0.129,0.020,230,Controversial,2014
471,GJ 229 b,0.10,"This planet is in a binary system comprising the red dwarf star GJ 229 A and the brown dwarf GJ 229 B, which was the first identified methane brown dwarf. The planet candidate orbiting GJ 229 A was identified by Bayesian analysis of 73 UVES and 17 HARPS radial velocity measurements.",RV,,15/04/21,0.97,0.101,150,Controversial,2014
15.819,GJ 27.1 b,0.08,The planet candidate orbiting GJ 27.1 was identified by Bayesian analysis of 62 UVES and 50 HARPS radial velocity measurements.,RV,,15/04/21,0.101,0.0409,150,Controversial,2014
18.6498,GJ 273 b,0.1,Data for this planet was imported from the exoplanet.eu database.,RV,,17/03/21,0.091101,0.00909,,Confirmed planets,2017
4.7234,GJ 273 c,0.17,Data for this planet was imported from the exoplanet.eu database.,RV,,17/03/21,0.036467,0.00371,,Confirmed planets,2017
5.974,GJ 3138 b,0.11,Data for this planet was imported from the exoplanet.eu database.,RV,,17/03/21,0.057,0.0132,,Confirmed planets,2017
1.22003,GJ 3138 c,0.19,Data for this planet was imported from the exoplanet.eu database.,RV,,17/03/21,0.0197,0.0056,,Confirmed planets,2017
257.8,GJ 3138 d,0.32,Data for this planet was imported from the exoplanet.eu database.,RV,,17/03/21,0.698,0.033,,Confirmed planets,2017
5.3636,GJ 3323 b,0.23,Data for this planet was imported from the exoplanet.eu database.,RV,,17/03/21,0.03282,0.00636,,Confirmed planets,2017
40.54,GJ 3323 c,0.17,Data for this planet was imported from the exoplanet.eu database.,RV,,17/03/21,0.1264,0.00727,,Confirmed planets,2017
26.161,GJ 422 b,0.05,The planet candidate orbiting GJ 422 was identified by Bayesian analysis of 24 UVES and 25 HARPS radial velocity measurements.,RV,,15/04/21,0.119,0.031,250,Controversial,2014
8.7076,GJ 536 b,0.08,Data for this planet was imported from the exoplanet.eu database.,RV,,16/11/08,0.06661,0.0169,288.7,Confirmed planets,2016
