mass,description,periastrontime,semimajoraxis,discoveryyear,list,eccentricity,period,discoverymethod,lastupdate,periastron,name
,"This planet was discovered by the Kepler spacecraft during its extended K2 mission, Campaign 1.",,,2015,Confirmed planets,0.12,5.65639,transit,16/03/07,,EPIC 201295312 b
,"This planet was discovered by the Kepler spacecraft during its extended K2 mission, Campaign 1.",,0.0818,2015,Confirmed planets,,10.93241,transit,15/12/06,,EPIC 201338508 c
,"This planet was discovered by the Kepler spacecraft during its extended K2 mission, Campaign 1.",,0.0532,2015,Confirmed planets,,5.73594,transit,15/12/06,,EPIC 201338508 b
,"This planet was discovered by the Kepler spacecraft during its extended K2 mission, Campaign 1.",,0.1898,2015,Confirmed planets,,30.94191,transit,18/07/24,,EPIC 201384232 b
,"This planet was discovered by the Kepler spacecraft during its extended K2 mission, Campaign 1.",,0.1814,2015,Confirmed planets,,28.67992,transit,15/07/07,,EPIC 201393098 b
,"This planet was discovered by the Kepler spacecraft during its extended K2 mission, Campaign 1.",,0.1408,2015,Controversial,,19.15344,transit,18/07/24,,EPIC 201403446 b
,"This planet was discovered by the Kepler spacecraft during its extended K2 mission, Campaign 1.",,0.0856,2015,Confirmed planets,,10.35239,transit,15/12/06,,EPIC 201445392 b
,"This planet was discovered by the Kepler spacecraft during its extended K2 mission, Campaign 1.",,0.0532,2015,Confirmed planets,,5.06416,transit,15/07/07,,EPIC 201445392 c
,"K2-9b was discovered by the Kepler spacecraft during its extended K2 mission, Campaign 1. It receives approximately Earth-like insolation and has a radius intermediate between that of Earth and Neptune. The orbit most likely has a low eccentricity.",,0.091,2015,Confirmed planets,,18.4498,transit,16/01/21,,EPIC 201465501 b
,This planet was discovered by Heller et al. 2019. The discovery was made with a space based telescope (0.95 m Kepler Telescope). The parameters listed here are those reported by Heller et al. 2019 and were imported into the Open Exoplanet Catalogue from the NASA Exoplanet Archive.,,,2019,Confirmed planets,,2.13174000,transit,19/06/13,,EPIC 201497682 b
0.0500,"This planet was discovered by the Kepler spacecraft during its extended K2 mission, Campaign 1.",,0.0971,2015,Confirmed planets,0.095,11.90715,transit,15/12/06,237,EPIC 201505350 c
0.138,"This planet was discovered by the Kepler spacecraft during its extended K2 mission, Campaign 1.",,0.0740,2015,Confirmed planets,0.119,7.91940,transit,15/12/06,179,EPIC 201505350 b
,This planet was announced as part of a batch of 149 validated planets from the K2 mission.,,0.0344,2015,Confirmed planets,,2.50856,transit,18/07/24,,EPIC 201505350 d
0.09156,"This planet was discovered by the Kepler spacecraft during its extended K2 mission, Campaign 1.",,,2015,Confirmed planets,0.16,6.77145,transit,16/03/07,,EPIC 201546283 b
,"This planet was discovered by the Kepler spacecraft during its extended K2 mission, Campaign 1.",,0.055,2015,Confirmed planets,0.120000,5.608352,transit,17/12/19,41.1600000,EPIC 201549860 b
,,,0.031,2016,Confirmed planets,0.130000,2.399964,transit,17/12/19,-74.5500000,EPIC 201549860 c
,"This planet was discovered by the Kepler spacecraft during its extended K2 mission, Campaign 1.",,0.0669,2015,Controversial,,8.6381,transit,15/07/07,,EPIC 201565013 b
0.0850,"This planet was discovered by the Kepler spacecraft during its extended K2 mission, Campaign 1.",,,2015,Confirmed planets,0.31,19.3044,transit,16/03/07,,EPIC 201577035 b
,"This planet was discovered by the Kepler spacecraft during its extended K2 mission, Campaign 1.",,0.2257,2015,Confirmed planets,,39.93767,transit,15/07/07,,EPIC 201596316 b
,"This planet was discovered by the Kepler spacecraft during its extended K2 mission, Campaign 1.",,0.0802,2015,Confirmed planets,,8.28212,transit,18/07/24,,EPIC 201613023 b
,"This planet was discovered by the Kepler spacecraft during its extended K2 mission, Campaign 1.",,0.0586,2015,Controversial,,7.28161,transit,15/07/07,,EPIC 201617985 b
,"This planet was discovered by the Kepler spacecraft during its extended K2 mission, Campaign 1.",,0.2114,2015,Confirmed planets,,39.91488,transit,15/07/07,,EPIC 201629650 b
,"This planet was discovered by the Kepler spacecraft during its extended K2 mission, Campaign 1.",,0.0627,2015,Confirmed planets,,8.36802,transit,15/07/07,,EPIC 201635569 b
,EPIC 201637175 b is a disintegrating planet orbiting the primary star of a binary system. It exhibits highly variable transit depths due to dust trails ejected from the planet.,,0.0088,2015,Confirmed planets,,0.381071,transit,15/05/03,,EPIC 201637175 b
,"This planet was discovered by the Kepler spacecraft during its extended K2 mission, Campaign 1.",,0.2205,2015,Controversial,,40.7362,transit,15/07/07,,EPIC 201702477 b
,"This planet was discovered by the Kepler spacecraft during its extended K2 mission, Campaign 1.",,0.091,2015,Confirmed planets,,11.8104,transit,15/07/07,,EPIC 201736247 b
,"This planet was discovered by the Kepler spacecraft during its extended K2 mission, Campaign 1.",,0.1229,2015,Confirmed planets,,19.07863,transit,15/12/06,,EPIC 201754305 c
,"This planet was discovered by the Kepler spacecraft during its extended K2 mission, Campaign 1.",,0.0667,2015,Confirmed planets,,7.61880,transit,15/12/06,,EPIC 201754305 b
,"This planet was discovered by the Kepler spacecraft during its extended K2 mission, Campaign 1.",,0.1875,2015,Controversial,,33.51569,transit,15/07/07,,EPIC 201828749 b
,This planet was discovered by Heller et al. 2019. The discovery was made with a space based telescope (0.95 m Kepler Telescope). The parameters listed here are those reported by Heller et al. 2019 and were imported into the Open Exoplanet Catalogue from the NASA Exoplanet Archive.,,,2019,Confirmed planets,,4.16959000,transit,19/06/13,,EPIC 201841433 b
,"This planet was discovered by the Kepler spacecraft during its extended K2 mission, Campaign 1.",,0.119,2015,Confirmed planets,,17.96753,transit,18/07/24,,EPIC 201855371 b
0.02504,"This planet was discovered by the Kepler spacecraft during its extended K2 mission, Campaign 1. This planet may be an interesting target for atmospheric studies of transiting exoplanets. Its density lies between that of Earth-like and Neptune-like planets.",,0.143,2015,Confirmed planets,,32.93963,transit,17/12/16,,EPIC 201912552 b
0.02363,K2-18 c is a non-transiting planet identified in radial velocity measurements of the K2-18 system.,,0.060,2017,Confirmed planets,,8.962,RV,17/12/16,,K2-18 c
,A possible planet has been identified orbiting EPIC 203311200 based on a single transit observed by the K2 mission. Confirmation of this planet will require additional observations.,,1.25,2015,Controversial,,540,transit,17/12/09,,EPIC 203311200 b
0.066,"EPIC 203771098 is a metal-rich G3 dwarf hosting two low-density, sub-Saturn planets in orbits close to the 2:1 mean-motion resonance. The system was discovered using K2 photometry and radial velocities were measured with Keck/HIRES, allowing determination of the planetary masses.",,0.1542,2015,Confirmed planets,,20.88508,transit,15/12/06,,EPIC 203771098 b
0.0850,"EPIC 203771098 is a metal-rich G3 dwarf hosting two low-density, sub-Saturn planets in orbits close to the 2:1 mean-motion resonance. The system was discovered using K2 photometry and radial velocities were measured with Keck/HIRES, allowing determination of the planetary masses.",,0.2471,2015,Confirmed planets,,42.36342,transit,15/12/06,,EPIC 203771098 c
,EPIC 203826436 is a multi-transiting system in the K2 mission campaign 2 field.,,0.0511,2015,Confirmed planets,,4.44117,transit,15/12/06,,EPIC 203826436 b
,EPIC 203826436 is a multi-transiting system in the K2 mission campaign 2 field.,,0.0654,2015,Confirmed planets,,6.42904,transit,15/12/06,,EPIC 203826436 c
,EPIC 203826436 is a multi-transiting system in the K2 mission campaign 2 field.,,0.1103,2015,Confirmed planets,,14.09189,transit,15/12/06,,EPIC 203826436 d
1.774,EPIC 204129699 b is the first confirmed transiting hot Jupiter discovered by the K2 mission. The transits are grazing which results in poor constraints on the planetary radius.,,0.0220,2015,Confirmed planets,0,1.257850,transit,15/11/15,,EPIC 204129699 b
0.0378,EPIC 204221263 is a multi-transiting system in the K2 mission campaign 2 field. Radial velocity measurements with Keck/HIRES have allowed the determination of the planetary masses. The radial velocities exhibit a linear trend indicating the presence of an additional non-transiting companion in the system.,,0.0506,2015,Confirmed planets,,4.01593,transit,15/12/06,,EPIC 204221263 b
0.031,EPIC 204221263 is a multi-transiting system in the K2 mission campaign 2 field. Radial velocity measurements with Keck/HIRES have allowed the determination of the planetary masses. The radial velocities exhibit a linear trend indicating the presence of an additional non-transiting companion in the system.,,0.0964,2015,Confirmed planets,,10.56103,transit,15/12/06,,EPIC 204221263 c
0.06639,EPIC 205071984 is a multi-transiting system in the K2 mission campaign 2 field.,,0.0808,2015,Confirmed planets,,8.99218,transit,17/12/04,,EPIC 205071984 b
,EPIC 205071984 is a multi-transiting system in the K2 mission campaign 2 field.,,0.1873,2015,Confirmed planets,,20.65614,transit,17/12/04,,EPIC 205071984 c
,EPIC 205071984 is a multi-transiting system in the K2 mission campaign 2 field.,,0.1873,2015,Confirmed planets,,31.71922,transit,17/12/04,,EPIC 205071984 d
3.6,Data for this planet was imported from the exoplanet.eu database.,,0.0409,2016,Confirmed planets,0.0,5.42513,transit,16/06/27,,K2-33 b
,The EPIC 206011691 system consists of a pair of small planets orbiting a nearby M0 dwarf close to the 5:3 resonance.,,0.0731,2015,Confirmed planets,,9.32414,transit,15/07/31,,EPIC 206011691 b
,The EPIC 206011691 system consists of a pair of small planets orbiting a nearby M0 dwarf close to the 5:3 resonance.,,0.1026,2015,Confirmed planets,,15.50120,transit,15/07/31,,EPIC 206011691 c
,This planet was discovered by Heller et al. 2019. The discovery was made with a space based telescope (0.95 m Kepler Telescope). The parameters listed here are those reported by Heller et al. 2019 and were imported into the Open Exoplanet Catalogue from the NASA Exoplanet Archive.,,,2019,Confirmed planets,,4.50756000,transit,19/06/13,,EPIC 206024342 b
,This planet was discovered by Heller et al. 2019. The discovery was made with a space based telescope (0.95 m Kepler Telescope). The parameters listed here are those reported by Heller et al. 2019 and were imported into the Open Exoplanet Catalogue from the NASA Exoplanet Archive.,,,2019,Confirmed planets,,2.87814000,transit,19/06/13,,EPIC 206032309 b
,This planet was discovered by Heller et al. 2019. The discovery was made with a space based telescope (0.95 m Kepler Telescope). The parameters listed here are those reported by Heller et al. 2019 and were imported into the Open Exoplanet Catalogue from the NASA Exoplanet Archive.,,,2019,Confirmed planets,,5.29711000,transit,19/06/13,,EPIC 206042996 b
,This planet was discovered by Heller et al. 2019. The discovery was made with a space based telescope (0.95 m Kepler Telescope). The parameters listed here are those reported by Heller et al. 2019 and were imported into the Open Exoplanet Catalogue from the NASA Exoplanet Archive.,,,2019,Confirmed planets,,2.25372000,transit,19/06/13,,EPIC 206215704 b
,This planet was discovered by Heller et al. 2019. The discovery was made with a space based telescope (0.95 m Kepler Telescope). The parameters listed here are those reported by Heller et al. 2019 and were imported into the Open Exoplanet Catalogue from the NASA Exoplanet Archive.,,,2019,Confirmed planets,,1.58252000,transit,19/06/13,,EPIC 206317286 b
,EPIC 206318379 b is a validated super-Earth candidate in the K2 Campaign 3 field. The planet has a similar radius and insolation to GJ 1214 b.,,0.0216,2015,Confirmed planets,0,2.260410,transit,16/03/07,,EPIC 206318379 b
,This planet is a Super-Earth with a radius roughly 2 times that of Earth. The host star EPIC 210363145 was identified as a member of the approximately 120-Myr-old Pleiades cluster based on its kinematics and photometric distance.,,,2016,Confirmed planets,0.14,8.199796,transit,18/02/17,89,EPIC 210363145 b
,EPIC 210490365 b is a Neptune-sized planet orbiting a red dwarf star in the Hyades cluster.,,,2015,Confirmed planets,0.27,3.484552,transit,15/12/06,62.10,EPIC 210490365 b
0.027,Data for this planet was imported from the exoplanet.eu database.,,0.0621,2017,Confirmed planets,,5.35117,RV,18/07/24,,EPIC 210894022 b
0.73,Data for this planet was imported from the exoplanet.eu database.,,0.04217,2016,Confirmed planets,0.066,3.2588321,transit,16/06/13,132.0,K2-29 b
0.101,Data for this planet was imported from the exoplanet.eu database.,,0.0943,2016,Confirmed planets,,10.13675,transit,18/07/24,,EPIC 211391664 b
,K2-103b is a sub-Neptune exoplanet in the Praesepe cluster.,,,2016,Confirmed planets,0.18,21.169619,,18/03/23,0,EPIC 211822797 b
,"EPIC 211901114 b is a candidate exoplanet in the Praesepe cluster. If confirmed, it would be one of the few known examples of a hot Jupiter orbiting a red dwarf star.",,,2016,Controversial,,1.648932,transit,18/03/23,,EPIC 211901114 b
,K2-101 b is a sub-Neptune exoplanet located in the Praesepe cluster.,,,2016,Confirmed planets,0.10,14.677286,,18/03/23,0,EPIC 211913977 b
,K2-95 b is a Neptune-sized exoplanet in the Praesepe cluster.,,0.0653,2016,Confirmed planets,0.16,10.135091,,18/03/23,-2,EPIC 211916756 b
,K2-104b is a sub-Neptune exoplanet in the Praesepe cluster.,,,2016,Confirmed planets,0.18,1.97419,,18/03/23,0,EPIC 211969807 b
,K2-102 b is a super-Earth located in the Praesepe cluster.,,,2016,Confirmed planets,0.10,9.915615,,16/09/07,-1,EPIC 211970147 b
,K2-100 b is a sub-Neptune exoplanet located in the Praesepe cluster.,,,2016,Confirmed planets,0.24,1.673916,,18/03/23,29,EPIC 211990866 b
,This planet was discovered by Heller et al. 2019. The discovery was made with a space based telescope (0.95 m Kepler Telescope). The parameters listed here are those reported by Heller et al. 2019 and were imported into the Open Exoplanet Catalogue from the NASA Exoplanet Archive.,,,2019,Confirmed planets,,2.28943000,transit,19/06/13,,EPIC 212297394 b
