temperature,magV,mass,spectraltype,magJ,radius,magB,magH,magK,metallicity,name,planets
6080.0,,1.13,,,1.18,,,,0.05,Kepler-1165,1.0
5446.0,,0.90,,,0.86,,,,-0.02,Kepler-1166,1.0
4971.0,,0.79,,,0.75,,,,-0.05,Kepler-1167,1.0
5157.0,,0.87,,,0.82,,,,0.13,Kepler-1168,1.0
6191.0,,1.24,,,1.23,,,,0.26,Kepler-1169,1.0
6142,,1.2060,,12.703,1.454,,12.486,12.383,,Kepler-116,2.0
5069.0,,0.80,,,0.76,,,,-0.09,Kepler-1170,1.0
7044.0,,1.58,,,1.95,,,,-0.01,Kepler-1171,1.0
5558.0,,0.92,,,0.89,,,,-0.04,Kepler-1172,1.0
5252.0,,0.86,,,0.82,,,,0.00,Kepler-1173,1.0
5936.0,,1.04,,,1.04,,,,-0.04,Kepler-1174,1.0
5453.0,,0.90,,,0.86,,,,-0.04,Kepler-1175,1.0
5844.0,,1.01,,,1.02,,,,-0.01,Kepler-1176,1.0
5712.0,,0.98,,,0.97,,,,0.02,Kepler-1177,1.0
4990.0,,0.80,,,0.75,,,,-0.05,Kepler-1178,1.0
5212.0,,0.84,,,0.81,,,,-0.03,Kepler-1179,1.0
6150,14.29,1.129,,13.324,1.606,14.93,12.99,13.01,-0.04,Kepler-117,2.0
6077.0,,1.09,,,1.14,,,,0.00,Kepler-1180,1.0
6176.0,,1.17,,,1.30,,,,0.03,Kepler-1181,1.0
5924.0,,1.04,,,1.05,,,,0.01,Kepler-1182,1.0
5765.0,,1.00,,,0.99,,,,0.04,Kepler-1183,1.0
5983.0,,1.05,,,1.07,,,,-0.04,Kepler-1184,1.0
5622.0,,0.96,,,0.87,,,,-0.04,Kepler-1185,1.0
5635.0,,0.95,,,0.93,,,,0.00,Kepler-1186,1.0
5975.0,,1.06,,,1.09,,,,-0.01,Kepler-1187,1.0
5913.0,,1.04,,,1.06,,,,0.00,Kepler-1188,1.0
6012.0,,1.11,,,1.16,,,,0.08,Kepler-1189,1.0
5274,,0.7700,,13.250,1.094,,12.769,12.711,,Kepler-118,2.0
4730.0,,0.76,,,0.72,,,,-0.02,Kepler-1190,1.0
5308.0,,0.85,,,0.81,,,,-0.08,Kepler-1191,1.0
5438.0,,0.86,,,0.83,,,,-0.16,Kepler-1192,1.0
5908.0,,1.08,,,1.21,,,,0.12,Kepler-1193,1.0
5590.0,,0.94,,,0.92,,,,0.00,Kepler-1194,1.0
4965.0,,0.74,,,0.71,,,,-0.25,Kepler-1195,1.0
5756.0,,0.98,,,0.97,,,,0.00,Kepler-1196,1.0
4708.0,,0.78,,,0.72,,,,0.06,Kepler-1197,1.0
5517.0,,0.93,,,0.90,,,,0.03,Kepler-1198,1.0
5889.0,,0.94,,,1.17,,,,-0.27,Kepler-1199,1.0
5595,,0.9180,,12.997,0.839,,12.636,12.580,,Kepler-119,2.0
5663,13.7,0.961,G,12.548,1.053,,12.237,12.180,,Kepler-11,6.0
4612.0,,0.74,,,0.70,,,,0.04,Kepler-1200,1.0
6177.0,,1.15,,,1.24,,,,0.03,Kepler-1201,1.0
5834.0,,1.03,,,1.04,,,,0.06,Kepler-1202,1.0
4105.0,,0.64,,,0.61,,,,0.01,Kepler-1203,1.0
5825.0,,1.03,,,1.03,,,,0.06,Kepler-1204,1.0
5226.0,,0.84,,,0.81,,,,-0.04,Kepler-1205,1.0
4877.0,,0.80,,,0.75,,,,0.07,Kepler-1206,1.0
5909.0,,1.06,,,1.06,,,,0.05,Kepler-1207,1.0
5001.0,,0.80,,,0.76,,,,-0.03,Kepler-1208,1.0
6210.0,,1.23,,,1.38,,,,0.12,Kepler-1209,1.0
4096,,0.6540,,13.019,0.534,,12.418,12.307,,Kepler-120,2.0
5568.0,,0.94,,,0.92,,,,0.04,Kepler-1210,1.0
5705.0,,0.96,,,0.94,,,,-0.08,Kepler-1211,1.0
6051.0,,1.10,,,1.15,,,,0.03,Kepler-1212,1.0
6050.0,,1.14,,,1.21,,,,0.13,Kepler-1213,1.0
5130.0,,0.85,,,0.80,,,,0.05,Kepler-1214,1.0
5616.0,,0.95,,,0.93,,,,0.01,Kepler-1215,1.0
5743.0,,0.99,,,0.98,,,,0.03,Kepler-1216,1.0
5905.0,,1.06,,,1.08,,,,0.07,Kepler-1217,1.0
5986.0,,1.06,,,1.10,,,,-0.02,Kepler-1218,1.0
5944.0,,1.25,,,1.94,,,,0.05,Kepler-1219,1.0
5311,,0.8590,,13.320,0.701,,12.886,12.796,,Kepler-121,2.0
5842.0,,1.00,,,0.99,,,,-0.04,Kepler-1220,1.0
5194.0,,0.87,,,0.82,,,,0.09,Kepler-1221,1.0
5239.0,,0.84,,,0.80,,,,-0.04,Kepler-1222,1.0
4870.0,,0.80,,,0.75,,,,0.04,Kepler-1223,1.0
6155.0,,1.18,,,1.22,,,,0.14,Kepler-1224,1.0
6140.0,,1.13,,,1.19,,,,0.01,Kepler-1225,1.0
5923.0,,1.02,,,1.02,,,,-0.08,Kepler-1226,1.0
5747.0,,0.97,,,0.95,,,,-0.04,Kepler-1227,1.0
5063.0,,0.78,,,0.74,,,,-0.18,Kepler-1228,1.0
3784.0,,0.54,,,0.51,,,,-0.06,Kepler-1229,1.0
6050,,1.0700,,13.173,1.216,,12.887,12.826,,Kepler-122,5.0
5961.0,,1.06,,,1.08,,,,0.01,Kepler-1230,1.0
5778.0,,1.01,,,1.00,,,,0.06,Kepler-1231,1.0
5471.0,,0.92,,,0.89,,,,0.06,Kepler-1232,1.0
6198.0,,1.16,,,1.25,,,,0.02,Kepler-1233,1.0
4967.0,,0.80,,,0.76,,,,0.01,Kepler-1234,1.0
5541.0,,0.93,,,0.90,,,,0.01,Kepler-1235,1.0
5337.0,,0.86,,,0.82,,,,-0.09,Kepler-1236,1.0
5472.0,,0.94,,,0.90,,,,0.12,Kepler-1237,1.0
6386.0,,1.30,,,1.48,,,,0.05,Kepler-1238,1.0
6564.0,,1.40,,,1.57,,,,0.22,Kepler-1239,1.0
6089,,,,12.982,1.264,,12.725,12.655,,Kepler-123,2.0
5682.0,,0.98,,,0.96,,,,0.04,Kepler-1240,1.0
5261.0,,0.84,,,0.80,,,,-0.09,Kepler-1241,1.0
4895.0,,0.77,,,0.74,,,,-0.05,Kepler-1242,1.0
5667.0,,0.96,,,0.94,,,,0.01,Kepler-1243,1.0
6680.0,,1.46,,,1.77,,,,0.05,Kepler-1244,1.0
5306.0,,0.86,,,0.83,,,,-0.01,Kepler-1245,2.0
4611.0,,0.73,,,0.69,,,,-0.03,Kepler-1246,1.0
5303.0,,0.86,,,0.82,,,,-0.05,Kepler-1247,1.0
6149.0,,1.21,,,1.21,,,,0.24,Kepler-1248,1.0
6202.0,,1.19,,,1.28,,,,0.06,Kepler-1249,1.0
4984,,0.8410,,12.780,0.636,,12.314,12.233,,Kepler-124,3.0
5717.0,,0.99,,,0.98,,,,0.04,Kepler-1250,1.0
5545.0,,0.92,,,0.89,,,,-0.04,Kepler-1251,1.0
5949.0,,1.06,,,1.09,,,,0.03,Kepler-1252,1.0
5850.0,,0.97,,,1.10,,,,-0.14,Kepler-1253,1.0
4985.0,,0.78,,,0.75,,,,-0.10,Kepler-1254,3.0
6018.0,,1.08,,,1.12,,,,0.02,Kepler-1255,1.0
6129.0,,1.17,,,1.36,,,,0.05,Kepler-1256,1.0
5502.0,,0.90,,,0.87,,,,-0.09,Kepler-1257,1.0
5839.0,,0.99,,,0.99,,,,-0.07,Kepler-1258,1.0
5053.0,,0.80,,,0.77,,,,-0.07,Kepler-1259,1.0
3810,,0.5370,,12.484,0.512,,11.869,11.682,,Kepler-125,2.0
5961.0,,1.06,,,1.08,,,,0.01,Kepler-1260,1.0
5006.0,,0.82,,,0.77,,,,0.03,Kepler-1261,1.0
5771.0,,0.99,,,0.98,,,,-0.02,Kepler-1262,1.0
5213.0,,0.84,,,0.80,,,,-0.03,Kepler-1263,1.0
5791.0,,0.99,,,0.98,,,,-0.02,Kepler-1264,1.0
4630.0,,0.71,,,0.69,,,,-0.10,Kepler-1265,1.0
5044.0,,0.80,,,0.76,,,,-0.07,Kepler-1266,1.0
6096.0,,1.15,,,1.20,,,,0.07,Kepler-1267,1.0
5904.0,,1.06,,,1.09,,,,0.05,Kepler-1268,1.0
5998.0,,1.10,,,1.15,,,,0.07,Kepler-1269,1.0
6239,10.51,1.1100,,9.616,1.358,10.93,9.407,9.344,,Kepler-126,3.0
5047.0,,1.28,,,3.38,,,,-0.02,Kepler-1270,1.0
6143.0,,1.13,,,1.23,,,,-0.01,Kepler-1271,1.0
5926.0,,1.06,,,1.09,,,,0.06,Kepler-1272,1.0
5566.0,,0.94,,,0.91,,,,0.03,Kepler-1273,1.0
6179.0,,1.45,,,2.17,,,,0.11,Kepler-1274,1.0
6296.0,,1.23,,,1.36,,,,0.04,Kepler-1275,1.0
6188.0,,1.14,,,1.21,,,,-0.02,Kepler-1276,1.0
5578.0,,0.94,,,0.92,,,,-0.01,Kepler-1277,1.0
6074.0,,1.11,,,1.16,,,,0.02,Kepler-1278,1.0
6221.0,,1.21,,,1.33,,,,0.06,Kepler-1279,1.0
6106,11.75,1.2690,,10.536,1.359,12.07,10.300,10.234,,Kepler-127,3.0
6227.0,,1.20,,,1.32,,,,0.04,Kepler-1280,1.0
5353.0,,0.87,,,0.83,,,,-0.04,Kepler-1281,1.0
5504.0,,0.92,,,0.89,,,,0.01,Kepler-1282,1.0
6175.0,,1.16,,,1.25,,,,0.04,Kepler-1283,1.0
5123.0,,0.84,,,0.79,,,,0.03,Kepler-1284,1.0
6170.0,,1.20,,,1.28,,,,0.16,Kepler-1285,1.0
5753.0,,1.00,,,0.98,,,,0.03,Kepler-1286,1.0
5715.0,,0.96,,,0.94,,,,-0.05,Kepler-1287,1.0
6132.0,,1.20,,,1.29,,,,0.14,Kepler-1288,1.0
6080.0,,1.10,,,1.17,,,,0.02,Kepler-1289,1.0
6090.00,11.69,1.17,,10.373,1.55,12.06,10.094,10.109,,Kepler-128,2.0
5660.0,,0.95,,,0.93,,,,-0.02,Kepler-1290,1.0
5216.0,,0.84,,,0.80,,,,-0.04,Kepler-1291,1.0
5556.0,,0.95,,,0.93,,,,0.08,Kepler-1292,1.0
6241.0,,1.18,,,1.28,,,,0.00,Kepler-1293,1.0
5776.0,,0.99,,,0.97,,,,-0.03,Kepler-1294,1.0
5486.0,,0.92,,,0.89,,,,0.04,Kepler-1295,1.0
5359.0,,0.87,,,0.83,,,,-0.04,Kepler-1296,1.0
5818.0,,0.99,,,0.99,,,,-0.04,Kepler-1297,1.0
6339.0,,1.45,,,2.00,,,,0.13,Kepler-1298,1.0
5609.0,,0.94,,,0.91,,,,-0.01,Kepler-1299,1.0
5770,11.81,1.1850,,10.600,1.641,12.67,10.325,10.252,,Kepler-129,2.0
5953,13.4,1.09,G0,12.406,1.42,13.96,12.11,12.066,0.08,Kepler-12,1.0
6130.0,,1.29,,,1.79,,,,0.05,Kepler-1300,1.0
5188.0,,0.85,,,0.81,,,,0.01,Kepler-1301,1.0
5236.0,,0.86,,,0.82,,,,0.04,Kepler-1302,1.0
5771.0,,1.01,,,1.00,,,,0.04,Kepler-1303,1.0
5259.0,,0.85,,,0.81,,,,-0.05,Kepler-1304,1.0
5701.0,,0.97,,,0.96,,,,0.01,Kepler-1305,1.0
5727.0,,0.98,,,0.97,,,,0.00,Kepler-1306,1.0
5884.0,,1.06,,,1.08,,,,0.06,Kepler-1307,1.0
3468.0,,0.35,,,0.34,,,,-0.13,Kepler-1308,1.0
5235.0,,0.85,,,0.80,,,,-0.03,Kepler-1309,1.0
5884,11.57,0.9650,,10.810,1.127,12.16,10.529,10.490,,Kepler-130,3.0
5549.0,,0.91,,,0.88,,,,-0.07,Kepler-1310,1.0
5748.0,,1.05,,,1.40,,,,0.09,Kepler-1311,2.0
5719.0,,0.99,,,0.92,,,,-0.02,Kepler-1312,1.0
5453.0,,0.92,,,0.85,,,,0.00,Kepler-1313,1.0
4188.0,,0.60,,,0.59,,,,-0.22,Kepler-1314,1.0
4861.0,,0.80,,,0.75,,,,0.07,Kepler-1315,1.0
5884.0,,1.04,,,1.12,,,,0.03,Kepler-1316,1.0
5144.0,,0.83,,,0.79,,,,-0.01,Kepler-1317,1.0
4598.0,,0.73,,,0.70,,,,-0.01,Kepler-1318,1.0
3655.0,,0.56,,,0.54,,,,0.44,Kepler-1319,1.0
5685,11.49,1.02,,10.418,1.03,12.22,10.127,10.079,0.12,Kepler-131,2.0
4817.0,,0.80,,,0.74,,,,0.10,Kepler-1320,1.0
4094.0,,0.54,,,0.53,,,,-0.45,Kepler-1321,2.0
5488.0,,0.90,,,0.87,,,,-0.07,Kepler-1322,1.0
6169.0,,1.18,,,1.40,,,,0.02,Kepler-1323,1.0
4776.0,,0.78,,,0.73,,,,0.05,Kepler-1324,1.0
5550.0,,0.93,,,0.91,,,,0.01,Kepler-1325,1.0
6725.0,,1.45,,,1.74,,,,0.02,Kepler-1326,1.0
5885.0,,1.02,,,1.03,,,,-0.03,Kepler-1327,1.0
5780.0,,1.00,,,0.99,,,,0.00,Kepler-1328,1.0
4500.0,,0.72,,,0.69,,,,0.02,Kepler-1329,1.0
6003,11.92,,,10.797,1.178,12.49,10.516,10.424,,Kepler-132,4.0
5608.0,,0.97,,,0.94,,,,0.08,Kepler-1330,1.0
4508.0,,0.72,,,0.69,,,,0.05,Kepler-1331,1.0
5581.0,,0.95,,,0.90,,,,0.00,Kepler-1332,1.0
5628.0,,0.94,,,0.92,,,,-0.04,Kepler-1333,1.0
5614.0,,0.94,,,0.91,,,,-0.03,Kepler-1334,1.0
4903.0,,0.77,,,0.74,,,,-0.07,Kepler-1335,1.0
5512.0,,0.94,,,1.30,,,,0.05,Kepler-1336,2.0
4523.0,,0.70,,,0.67,,,,-0.09,Kepler-1337,1.0
5909.0,,1.04,,,1.05,,,,0.00,Kepler-1338,1.0
5586.0,,0.94,,,0.93,,,,0.01,Kepler-1339,1.0
5736,,1.0200,,11.680,1.425,,11.399,11.320,,Kepler-133,2.0
6331.0,,1.27,,,1.42,,,,0.07,Kepler-1340,1.0
4662.0,,0.79,,,0.72,,,,0.19,Kepler-1341,1.0
5527.0,,0.93,,,0.90,,,,0.03,Kepler-1342,1.0
5759.0,,0.95,,,0.93,,,,-0.16,Kepler-1343,1.0
5981.0,,1.09,,,1.13,,,,0.06,Kepler-1344,1.0
6449.0,,1.32,,,1.55,,,,0.04,Kepler-1345,1.0
6133.0,,1.14,,,1.21,,,,0.04,Kepler-1346,1.0
5193.0,,0.82,,,0.79,,,,-0.11,Kepler-1347,1.0
5911.0,,1.04,,,1.04,,,,-0.01,Kepler-1348,1.0
6086.0,,1.16,,,1.28,,,,0.03,Kepler-1349,1.0
5983,,1.0100,,11.260,1.176,,10.984,10.951,,Kepler-134,2.0
3827.0,,0.55,,,0.53,,,,-0.06,Kepler-1350,2.0
4439.0,,0.70,,,0.67,,,,-0.03,Kepler-1351,1.0
6118.0,,1.11,,,1.16,,,,0.00,Kepler-1352,1.0
4776.0,,0.76,,,0.72,,,,-0.06,Kepler-1353,1.0
6168.0,,1.16,,,1.24,,,,0.03,Kepler-1354,1.0
5352.0,,0.88,,,0.83,,,,-0.04,Kepler-1355,1.0
5106.0,,0.82,,,0.78,,,,-0.02,Kepler-1356,1.0
5597.0,,0.93,,,0.90,,,,-0.06,Kepler-1357,1.0
5181.0,,0.82,,,0.79,,,,-0.08,Kepler-1358,1.0
4709.0,,0.780,,14.042,0.720,,13.507,13.430,0.110,Kepler-1359,2.0
6090,12.79,1.1400,,11.722,1.275,12.82,11.508,11.456,,Kepler-135,2.0
6778.0,,1.51,,,1.83,,,,0.06,Kepler-1360,1.0
5131.0,,0.83,,,0.79,,,,0.00,Kepler-1361,1.0
4857.0,,0.80,,,0.74,,,,0.06,Kepler-1362,1.0
4839.0,,0.76,,,0.72,,,,-0.09,Kepler-1363,1.0
6805.0,,1.49,,,1.79,,,,0.04,Kepler-1364,1.0
5770.0,,1.00,,,1.05,,,,0.03,Kepler-1365,2.0
4070.0,,0.62,,,0.60,,,,-0.02,Kepler-1366,1.0
4106.0,,0.62,,,0.60,,,,-0.06,Kepler-1367,1.0
5906.0,,1.07,,,1.08,,,,0.10,Kepler-1368,1.0
5761.0,,0.99,,,0.99,,,,0.00,Kepler-1369,1.0
6165,12.4,1.2040,,10.804,1.355,12.51,10.573,10.519,,Kepler-136,2.0
6202.0,,1.19,,,1.29,,,,0.05,Kepler-1370,2.0
5361.0,,0.87,,,0.83,,,,-0.07,Kepler-1371,2.0
5677.0,,0.98,,,0.97,,,,0.05,Kepler-1372,1.0
6299.0,,1.22,,,1.33,,,,0.03,Kepler-1373,1.0
5323.0,,0.85,,,0.81,,,,-0.13,Kepler-1374,1.0
6704.0,,1.47,,,1.78,,,,0.09,Kepler-1375,1.0
5659.0,,0.98,,,0.97,,,,0.07,Kepler-1376,1.0
5218.0,,0.86,,,0.82,,,,0.05,Kepler-1377,1.0
4407.0,,0.70,,,0.67,,,,0.03,Kepler-1378,1.0
5188.0,,0.83,,,0.79,,,,-0.04,Kepler-1379,1.0
5187,,0.9080,,11.650,0.802,,11.229,11.165,,Kepler-137,2.0
5570.0,,0.96,,,0.94,,,,0.10,Kepler-1380,1.0
5747.0,,0.96,,,0.94,,,,-0.10,Kepler-1381,1.0
6161.0,,1.36,,,1.72,,,,0.30,Kepler-1382,1.0
6370.0,,1.26,,,1.44,,,,0.03,Kepler-1383,1.0
4919.0,,0.78,,,0.74,,,,-0.06,Kepler-1384,1.0
5732.0,,1.15,,,1.29,,,,0.41,Kepler-1385,1.0
5733.0,,1.02,,,1.03,,,,0.11,Kepler-1386,1.0
5046.0,,0.82,,,0.77,,,,0.02,Kepler-1387,1.0
4098.0,,0.63,,,0.61,,,,0.02,Kepler-1388,4.0
5078.0,,0.81,,,0.74,,,,-0.14,Kepler-1389,1.0
5753.0,,0.98,,,0.98,,,,-0.01,Kepler-1390,1.0
5840.0,,1.03,,,1.10,,,,0.04,Kepler-1391,1.0
5479.0,,0.88,,,0.85,,,,-0.11,Kepler-1392,1.0
5697.0,,0.95,,,0.92,,,,-0.09,Kepler-1393,1.0
6481.0,,1.64,,,2.55,,,,0.06,Kepler-1394,1.0
6138.0,,1.17,,,1.23,,,,0.12,Kepler-1395,1.0
6195.0,,1.18,,,1.27,,,,0.04,Kepler-1396,1.0
6026.0,,1.09,,,1.12,,,,0.00,Kepler-1397,1.0
6126.0,,1.13,,,1.18,,,,0.01,Kepler-1398,2.0
5735.0,,0.97,,,0.96,,,,-0.03,Kepler-1399,1.0
5594,,1.0840,,11.530,1.300,,11.222,11.167,,Kepler-139,2.0
7650,9.95,1.72,A,9.466,1.74,10.16,9.455,9.425,0.20,Kepler-13 A,1.0
7530,10.2,1.68,A,,1.68,,,,0.2,Kepler-13 B,0.0
,,0.575,,,,,,,,Kepler-13 C,0.0
5044.0,,0.83,,,0.78,,,,0.04,Kepler-1400,1.0
5964.0,,1.07,,,1.10,,,,0.04,Kepler-1401,1.0
5416.0,,0.90,,,0.87,,,,0.03,Kepler-1402,1.0
6060.0,,1.11,,,1.15,,,,0.03,Kepler-1403,1.0
5261.0,,0.84,,,0.80,,,,-0.09,Kepler-1404,1.0
5925.0,,1.05,,,1.07,,,,0.03,Kepler-1405,1.0
5892.0,,1.05,,,1.12,,,,0.04,Kepler-1406,1.0
6010.0,,1.10,,,1.15,,,,0.05,Kepler-1407,1.0
6170.0,,1.21,,,1.35,,,,0.00,Kepler-1408,1.0
5160.0,,0.83,,,0.79,,,,-0.03,Kepler-1409,1.0
6077,,1.2070,,11.989,1.288,,11.759,11.709,,Kepler-140,2.0
4092.0,,0.63,,,0.60,,,,0.01,Kepler-1410,1.0
5664.0,,0.95,,,0.92,,,,-0.04,Kepler-1411,1.0
5880.0,,1.06,,,1.27,,,,0.04,Kepler-1412,1.0
5196.0,,0.84,,,0.80,,,,-0.05,Kepler-1413,1.0
4951.0,,0.80,,,0.75,,,,-0.02,Kepler-1414,1.0
5267.0,,0.89,,,0.84,,,,0.12,Kepler-1415,1.0
6019.0,,1.09,,,1.15,,,,0.03,Kepler-1416,1.0
5839.0,,1.02,,,1.02,,,,0.02,Kepler-1417,1.0
4770.0,,0.77,,,0.72,,,,0.00,Kepler-1418,1.0
5796.0,,1.01,,,1.01,,,,0.04,Kepler-1419,1.0
4910,,1.0010,,11.955,0.787,,11.485,11.393,,Kepler-141,2.0
5187.0,,0.82,,,0.79,,,,-0.10,Kepler-1420,1.0
6335.0,,1.25,,,1.42,,,,0.05,Kepler-1421,1.0
6194.0,,1.15,,,1.23,,,,0.00,Kepler-1422,1.0
4939.0,,0.79,,,0.75,,,,-0.02,Kepler-1423,1.0
5838.0,,1.02,,,1.07,,,,0.01,Kepler-1424,1.0
5718.0,,0.97,,,0.95,,,,-0.03,Kepler-1425,1.0
5831.0,,1.02,,,1.02,,,,0.03,Kepler-1426,1.0
5793.0,,1.01,,,1.01,,,,0.06,Kepler-1427,1.0
6184.0,,1.28,,,1.36,,,,0.35,Kepler-1428,1.0
5902.0,,1.05,,,1.07,,,,0.04,Kepler-1429,1.0
5790,,0.9880,,12.092,1.269,,11.801,11.762,,Kepler-142,3.0
4796.0,,0.77,,,0.72,,,,-0.03,Kepler-1430,1.0
5806.0,,1.03,,,1.03,,,,0.07,Kepler-1431,1.0
6031.0,,1.09,,,1.13,,,,0.02,Kepler-1432,1.0
6097.0,,1.14,,,1.19,,,,0.07,Kepler-1433,1.0
6291.0,,1.47,,,2.04,,,,0.19,Kepler-1434,1.0
6356.0,,1.21,,,1.32,,,,-0.03,Kepler-1435,1.0
5972.0,,1.06,,,1.09,,,,-0.01,Kepler-1436,1.0
5557.0,,0.93,,,0.90,,,,-0.02,Kepler-1437,1.0
5530.0,,0.97,,,0.96,,,,0.20,Kepler-1438,1.0
3578.0,,0.46,,,0.43,,,,-0.03,Kepler-1439,1.0
5848,,1.0080,,12.590,1.359,,12.292,12.223,,Kepler-143,2.0
5698.0,,0.98,,,0.96,,,,0.04,Kepler-1440,1.0
5802.0,,1.00,,,1.00,,,,0.01,Kepler-1441,1.0
6394.0,,1.34,,,1.44,,,,0.26,Kepler-1442,1.0
6289.0,,1.19,,,1.27,,,,0.00,Kepler-1443,1.0
5810.0,,1.03,,,1.05,,,,0.06,Kepler-1444,1.0
6150.0,,1.13,,,1.26,,,,-0.03,Kepler-1445,1.0
4865.0,,0.81,,,0.75,,,,0.11,Kepler-1446,1.0
5722.0,,0.97,,,0.95,,,,-0.03,Kepler-1447,1.0
5774.0,,0.95,,,0.93,,,,-0.16,Kepler-1448,1.0
5979.0,,1.08,,,1.10,,,,0.04,Kepler-1449,1.0
6075,12.20,1.1540,,11.050,1.235,12.69,10.830,10.792,,Kepler-144,2.0
4524.0,,0.71,,,0.68,,,,-0.02,Kepler-1450,1.0
5782.0,,1.00,,,0.99,,,,0.01,Kepler-1451,1.0
6101.0,,1.41,,,2.06,,,,0.14,Kepler-1452,1.0
5665.0,,0.97,,,0.94,,,,0.01,Kepler-1453,1.0
5448.0,,0.90,,,0.86,,,,-0.02,Kepler-1454,1.0
4075.0,,0.62,,,0.60,,,,-0.02,Kepler-1455,1.0
4231.0,,0.64,,,0.62,,,,-0.09,Kepler-1456,1.0
5866.0,,1.01,,,1.01,,,,-0.05,Kepler-1457,1.0
5653.0,,0.96,,,0.94,,,,0.02,Kepler-1458,1.0
4828.0,,0.78,,,0.74,,,,0.01,Kepler-1459,1.0
4422.0,,0.70,,,0.67,,,,-0.02,Kepler-1460,1.0
4919.0,,0.79,,,0.74,,,,-0.04,Kepler-1461,1.0
5756.0,,1.00,,,1.00,,,,0.06,Kepler-1462,1.0
5679.0,,0.96,,,0.95,,,,0.00,Kepler-1463,1.0
5828.0,,1.02,,,1.01,,,,0.03,Kepler-1464,2.0
4726.0,,0.75,,,0.71,,,,-0.06,Kepler-1465,1.0
5884.0,,1.01,,,1.02,,,,-0.07,Kepler-1466,1.0
5332.0,,0.86,,,0.82,,,,-0.07,Kepler-1467,1.0
5893.0,,1.04,,,1.05,,,,0.03,Kepler-1468,2.0
5507.0,,0.92,,,0.89,,,,0.02,Kepler-1469,1.0
5948,,1.0900,,12.739,1.208,,12.472,12.475,,Kepler-146,2.0
4961.0,,0.80,,,0.76,,,,-0.01,Kepler-1470,1.0
5660.0,,0.95,,,0.93,,,,-0.03,Kepler-1471,1.0
6159.0,,1.16,,,1.25,,,,0.03,Kepler-1472,1.0
6046.0,,1.09,,,1.09,,,,-0.01,Kepler-1473,1.0
5870.0,,1.04,,,1.04,,,,0.04,Kepler-1474,1.0
6214.0,,1.18,,,1.28,,,,0.03,Kepler-1475,1.0
5663.0,,0.98,,,0.96,,,,0.06,Kepler-1476,1.0
5100.0,,0.81,,,0.78,,,,-0.06,Kepler-1477,1.0
5904.0,,1.04,,,1.06,,,,0.03,Kepler-1478,1.0
5796.0,,0.99,,,0.98,,,,-0.02,Kepler-1479,1.0
6012,,0.9800,,12.786,1.468,,12.475,12.416,,Kepler-147,2.0
5156.0,,0.85,,,0.81,,,,0.07,Kepler-1480,1.0
4908.0,,0.80,,,0.75,,,,0.04,Kepler-1481,1.0
5381.0,,0.88,,,0.84,,,,-0.04,Kepler-1482,1.0
6337.0,,1.25,,,1.40,,,,0.04,Kepler-1483,1.0
5730.0,,0.94,,,0.92,,,,-0.17,Kepler-1484,1.0
6087.0,,1.11,,,1.12,,,,0.02,Kepler-1485,1.0
5965.0,,1.08,,,1.12,,,,0.06,Kepler-1486,1.0
6541.0,,1.38,,,1.63,,,,0.04,Kepler-1487,1.0
5820.0,,1.05,,,1.31,,,,0.06,Kepler-1488,1.0
5655.0,,0.93,,,0.90,,,,-0.13,Kepler-1489,1.0
5272,,0.7770,,13.903,0.851,,13.527,13.36,,Kepler-148,3.0
5515.0,,0.90,,,0.87,,,,-0.08,Kepler-1490,1.0
5728.0,,1.00,,,0.99,,,,0.06,Kepler-1491,1.0
4712.0,,0.77,,,0.72,,,,0.06,Kepler-1492,1.0
5863.0,,1.06,,,1.29,,,,0.06,Kepler-1493,1.0
5659.0,,0.96,,,0.94,,,,0.01,Kepler-1494,1.0
5831.0,,1.03,,,1.04,,,,0.06,Kepler-1495,1.0
6182.0,,1.18,,,1.27,,,,0.05,Kepler-1496,1.0
5675.0,,0.96,,,0.95,,,,0.01,Kepler-1497,1.0
5256.0,,0.86,,,0.81,,,,-0.01,Kepler-1498,1.0
5097.0,,0.82,,,0.78,,,,-0.01,Kepler-1499,1.0
5381,,0.9090,,12.694,0.953,,12.274,12.184,,Kepler-149,3.0
6395.0,12.12,1.512,F,11.202,2.048,12.24,11.068,10.988,0.12,Kepler-14,1.0
5845.0,,1.00,,,1.00,,,,-0.05,Kepler-1500,1.0
6229.0,,1.20,,,1.30,,,,0.04,Kepler-1501,1.0
6666.0,,1.44,,,1.72,,,,0.05,Kepler-1502,1.0
5069.0,,0.77,,,0.74,,,,-0.19,Kepler-1503,1.0
5393.0,,0.85,,,0.81,,,,-0.17,Kepler-1504,1.0
5686.0,,0.93,,,0.86,,,,-0.18,Kepler-1505,1.0
5676.0,,0.95,,,0.93,,,,-0.05,Kepler-1506,1.0
5410.0,,0.89,,,0.85,,,,-0.03,Kepler-1507,1.0
6158.0,,1.14,,,1.22,,,,0.01,Kepler-1508,1.0
5780.0,,1.00,,,0.99,,,,0.03,Kepler-1509,1.0
5560,,0.9700,,13.817,0.939,,13.422,13.37,,Kepler-150,4.0
6200.0,,1.19,,,1.28,,,,0.04,Kepler-1510,1.0
6064.0,,1.17,,,1.29,,,,0.14,Kepler-1511,1.0
4372.0,,0.73,,,0.67,,,,0.20,Kepler-1512,1.0
